slug,field,confidence,sources,checkedAt
metropolitan-square,completionYear,unverified,https://www.starproperty.my/insight/148/metropolitan-square,2026-08-16
metropolitan-square,totalUnits,verified,https://www.starproperty.my/insight/148/metropolitan-square https://www.edgeprop.my/condo/metropolitan-square-10567,2026-08-16
metropolitan-square,maintenancePsf,unverified,https://www.starproperty.my/insight/148/metropolitan-square,2026-08-16
ritze-perdana-2,completionYear,unverified,https://irumah.co/damansara-perdana/ritze-perdana-2,2026-08-16
ritze-perdana-2,totalUnits,verified,https://irumah.co/damansara-perdana/ritze-perdana-2 https://www.iproperty.com.my/building/ritze-perdana-2-pty_63995/,2026-08-16
ritze-perdana-1,completionYear,unverified,https://www.starproperty.my/selangor/petaling-jaya/damansara-perdana/ritze-perdana-1/property-insights/29,2026-08-16
ritze-perdana-1,totalUnits,unverified,https://www.propsocial.my/developments/ritze-perdana-1-28,2026-08-16
ritze-perdana-1,maintenancePsf,verified,https://www.propsocial.my/developments/ritze-perdana-1-28 https://forum.lowyat.net/topic/4357736/all,2026-08-16
ritze-perdana-1,parkingPerUnit,unverified,https://forum.lowyat.net/topic/4357736/all,2026-08-16
armanee-terrace,totalUnits,unverified,https://irumah.co/damansara-perdana/armanee-terrace,2026-08-16
empire-damansara,completionYear,unverified,https://irumah.co/damansara-perdana/empire-damansara,2026-08-16
empire-city,completionYear,unverified,https://irumah.co/damansara-perdana/empire-city,2026-08-16
empire-city,maintenancePsf,unverified,https://forum.lowyat.net/topic/1566155,2026-08-16
dterra-residences,totalUnits,unverified,https://exsim-dterra.com/,2026-08-16
derica,completionYear,unverified,https://centralparkdamansara-exsim.com/derica/,2026-08-16
derica,totalUnits,unverified,https://centralparkdamansara-exsim.com/derica/,2026-08-16
dquince-residences,totalUnits,unverified,https://irumah.co/central-park-damansara/d%27quince-residences,2026-08-16
dclover-residences,totalUnits,unverified,https://www.dclover.my/,2026-08-16
dvine,totalUnits,unverified,https://centralparkdamansara-exsim.com/dvine/,2026-08-16
dvervain,completionYear,unverified,https://www.dvervain.com.my/,2026-08-16
dvervain,totalUnits,verified,https://www.dvervain.com.my/ https://forum.lowyat.net/topic/4666218/+360,2026-08-16
dcosmos-residences,completionYear,unverified,https://www.dcosmos.com.my/,2026-08-16
dcosmos-residences,totalUnits,unverified,https://irumah.co/central-park-damansara/d%27cosmos-residences,2026-08-16
perdana-emerald,completionYear,unverified,https://www.starproperty.my/insight/311/perdana-emerald,2026-08-16
perdana-emerald,totalUnits,unverified,https://www.starproperty.my/insight/311/perdana-emerald,2026-08-16
perdana-emerald,maintenancePsf,unverified,https://www.starproperty.my/insight/311/perdana-emerald,2026-08-16
perdana-view,completionYear,unverified,https://www.starproperty.my/insight/313/perdana-view,2026-08-16
perdana-view,maintenancePsf,unverified,https://www.starproperty.my/insight/313/perdana-view,2026-08-16
perdana-exclusive,completionYear,unverified,https://www.edgeprop.my/condo/perdana-exclusive-condominium-10915,2026-08-16
perdana-exclusive,totalUnits,unverified,https://www.edgeprop.my/condo/perdana-exclusive-condominium-10915,2026-08-16
the-trees,completionYear,unverified,https://www.iproperty.com.my/building/the-trees-pty_62978/,2026-08-16
the-trees,totalUnits,unverified,https://www.iproperty.com.my/building/the-trees-pty_62978/,2026-08-16
the-paxtonz,totalUnits,unverified,https://www.mossazempirecity.com/paxtonz/,2026-08-16
oasis-serviced-suites,completionYear,unverified,https://www.edgeprop.my/condo/oasis-serviced-suites-10722,2026-08-16
oasis-serviced-suites,totalUnits,unverified,https://www.edgeprop.my/condo/oasis-serviced-suites-10722,2026-08-16
dataran-prima,completionYear,unverified,https://www.starproperty.my/selangor/petaling-jaya/kelana-jaya/dataran-prima-condominium/property-insights/716,2026-08-16
dataran-prima,totalUnits,unverified,https://www.starproperty.my/selangor/petaling-jaya/kelana-jaya/dataran-prima-condominium/property-insights/716,2026-08-16
kelana-dputera,completionYear,unverified,https://www.starproperty.my/selangor/petaling-jaya/kelana-jaya/kelana-d-putera/property-insights/725,2026-08-16
kelana-dputera,totalUnits,unverified,https://www.starproperty.my/selangor/petaling-jaya/kelana-jaya/kelana-d-putera/property-insights/725,2026-08-16
plaza-kelana-jaya,totalUnits,unverified,https://www.starproperty.my/insight/2940/plaza-kelana-jaya,2026-08-16
plaza-kelana-jaya,maintenancePsf,unverified,https://www.starproperty.my/insight/2940/plaza-kelana-jaya,2026-08-16
the-arcuz,completionYear,unverified,https://www.propertyguru.com.my/new-property-launch/reviews/the-arcuz-kelana-jaya-216408,2026-08-16
the-arcuz,totalUnits,unverified,https://www.propertyguru.com.my/new-property-launch/reviews/the-arcuz-kelana-jaya-216408,2026-08-16
the-arcuz,nearestStation,unverified,https://www.iqinetwork.com/the-arcuz-kelana-jaya-by-exsim-review-luxury-condo-at-kelana-jaya-walking-distance-to-lrt/,2026-08-16
the-arcuz,maintenancePsf,unverified,https://forum.lowyat.net/topic/4666596/+200,2026-08-16
kelana-mahkota,completionYear,unverified,https://www.starproperty.my/insight/132/kelana-mahkota,2026-08-16
kelana-mahkota,totalUnits,unverified,https://www.starproperty.my/insight/132/kelana-mahkota,2026-08-16
kelana-mahkota,maintenancePsf,unverified,https://forum.lowyat.net/topic/4913947,2026-08-16
arvore-residence,completionYear,unverified,https://irumah.co/ss4/arvore-residences,2026-08-16
arvore-residence,totalUnits,unverified,https://irumah.co/ss4/arvore-residences,2026-08-16
armanee-terrace,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1732114/101.6045678,2026-08-19
armanee-terrace,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1732114/101.6045678,2026-08-19
arvore-residence,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.111338/101.604838,2026-08-19
arvore-residence,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.111338/101.604838,2026-08-19
dclover-residences,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1745951/101.6153599,2026-08-19
dclover-residences,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1745951/101.6153599,2026-08-19
dcosmos-residences,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1747949/101.6182769,2026-08-19
dcosmos-residences,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1747949/101.6182769,2026-08-19
derica,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1711832/101.6145099,2026-08-19
derica,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1711832/101.6145099,2026-08-19
dquince-residences,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1739796/101.6179675,2026-08-19
dquince-residences,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1739796/101.6179675,2026-08-19
dterra-residences,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1739756/101.6146811,2026-08-19
dterra-residences,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1739756/101.6146811,2026-08-19
dvervain,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1741192/101.6167621,2026-08-19
dvervain,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1741192/101.6167621,2026-08-19
dataran-prima,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1193321/101.5951228,2026-08-19
dataran-prima,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1193321/101.5951228,2026-08-19
empire-city,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1674465/101.6150515,2026-08-19
empire-city,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1674465/101.6150515,2026-08-19
empire-damansara,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1677976/101.6124415,2026-08-19
empire-damansara,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1677976/101.6124415,2026-08-19
empire-residence,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1677976/101.6124415,2026-08-19
empire-residence,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1677976/101.6124415,2026-08-19
oasis-serviced-suites,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.114355/101.574297,2026-08-19
oasis-serviced-suites,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.114355/101.574297,2026-08-19
perdana-emerald,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.164809/101.607954,2026-08-19
perdana-emerald,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.164809/101.607954,2026-08-19
plaza-kelana-jaya,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.097085/101.598188,2026-08-19
plaza-kelana-jaya,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.097085/101.598188,2026-08-19
ritze-perdana-1,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1677483/101.60595,2026-08-19
ritze-perdana-1,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1677483/101.60595,2026-08-19
ritze-perdana-2,nearestStation,unverified,https://www.openstreetmap.org/#map=17/3.1677483/101.60595,2026-08-19
ritze-perdana-2,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.1677483/101.60595,2026-08-19
the-arcuz,nearestStation,verified,https://www.openstreetmap.org/#map=17/3.109533/101.592742 https://www.iqinetwork.com/the-arcuz-kelana-jaya-by-exsim-review-luxury-condo-at-kelana-jaya-walking-distance-to-lrt/,2026-08-19
the-arcuz,walkMinutesToStation,unverified,https://www.openstreetmap.org/#map=17/3.109533/101.592742,2026-08-19
